The Silent Patient
Where the Crawdads Sing
Becoming
Educated
The Alchemist
The Night Circus
Circe
The Tattooist of Auschwitz
The Goldfinch
Normal People
The Handmaid's Tale
Little Fires Everywhere
Big Little Lies
The Road
1984
Brave New World
The Catcher in the Rye
The Great Gatsby
To Kill a Mockingbird
The Book Thief
The Subtle Art of Not Giving a F*ck
Sapiens
The Power of Habit
Atomic Habits
The Lean Startup
